ID_UNICO,ingresos_jovenes,SEXO,EDAD,INFORMAL,REGION,NIVEL_EDUCATIVO,INTERNET,SEGURO_SALUD,mesestrab_antiguedad
005027_055_11_03,1050,1,25,1,Selva,2,1,1,1
005027_055_11_04,150,1,18,1,Selva,1,1,1,9
005030_060_11_03,1442,1,26,1,Selva,2,1,1,72
005030_060_11_04,650,1,18,1,Selva,1,1,1,1
005039_022_11_03,100,0,16,1,Selva,1,1,1,18
005039_114_11_02,403,1,28,1,Selva,2,1,1,6
005045_004_11_03,300,1,23,1,Selva,2,1,1,1
005045_013_11_03,1288,0,25,1,Selva,1,1,1,6
005045_013_11_04,1138,0,22,1,Selva,2,1,1,48
005045_040_11_02,800,1,19,1,Selva,1,1,1,1
005045_040_11_03,240,0,15,1,Selva,1,1,1,6
005045_047_11_03,297,0,19,1,Selva,1,1,1,6
005045_056_11_02,1800,0,24,1,Selva,1,1,1,1
005061_034_11_03,400,0,18,1,Sierra,1,1,1,1
005076_015_11_03,177,1,24,1,Selva,1,1,1,84
005089_055_11_02,240,1,21,1,Selva,1,1,1,36
005121_036_11_03,600,0,21,1,Selva,1,1,1,96
005121_116_11_04,360,0,17,1,Selva,1,0,1,12
005121_118_11_02,41,0,15,1,Selva,1,0,1,12
005135_002_11_02,108,0,21,1,Sierra,1,0,1,60
005135_030_11_03,1680,1,24,1,Sierra,2,1,1,4
005135_048_11_03,900,1,22,1,Sierra,1,1,1,15
005135_058_11_02,800,0,19,1,Sierra,1,0,1,5
005138_120_11_03,172,0,23,1,Sierra,1,1,1,72
005138_120_11_04,960,0,20,1,Sierra,1,1,1,1
005138_120_11_05,99,0,18,1,Sierra,1,1,1,36
005186_006_11_03,1380,0,23,0,Costa,2,1,1,11
005186_053_11_02,35,1,29,1,Costa,2,1,1,10
005186_087_11_04,1082,0,24,1,Costa,1,1,0,1
005186_097_11_03,1025,0,24,1,Costa,2,1,0,1
005186_097_11_04,2800,0,27,0,Costa,2,1,1,12
005192_009_12_04,892,1,29,0,Costa,1,1,1,24
005192_024_11_02,1305,1,25,0,Costa,2,1,1,8
005192_024_11_03,28,1,22,1,Costa,1,1,1,1
005192_072_11_03,950,1,29,1,Costa,2,1,0,12
005192_085_11_02,1050,0,22,1,Costa,2,1,1,1
005192_101_11_04,1050,1,26,1,Costa,2,1,1,10
005209_063_11_02,355,0,24,1,Costa,1,1,1,12
005209_090_11_04,1045,0,29,1,Costa,2,1,1,2
005257_007_11_02,1500,0,28,1,Sierra,2,1,1,23
005257_007_11_03,1015,0,28,1,Sierra,2,1,1,6
005257_061_11_02,780,0,29,1,Sierra,2,1,0,12
005263_121_11_02,1200,1,26,0,Sierra,2,1,1,12
005276_006_11_03,700,1,24,1,Sierra,2,1,1,5
005297_010_11_03,160,0,22,1,Sierra,2,1,1,36
005297_011_11_03,160,0,18,1,Sierra,1,1,1,36
005297_012_11_03,160,0,21,1,Sierra,2,1,1,60
005297_012_11_04,20,1,19,1,Sierra,1,1,1,1
005297_075_11_03,240,0,23,1,Sierra,1,1,1,1
005313_021_11_03,1800,0,20,1,Sierra,1,1,1,1
005313_021_11_04,160,1,18,1,Sierra,1,1,1,1
005313_023_11_03,1600,1,19,1,Sierra,1,0,1,12
005313_023_11_04,160,0,17,1,Sierra,1,0,1,12
005321_214_11_04,1050,0,18,1,Sierra,1,1,1,1
005346_096_11_03,990,0,26,0,Sierra,1,1,1,9
005346_096_11_06,1500,1,23,1,Sierra,1,1,1,24
005362_124_11_04,600,0,28,1,Sierra,1,0,1,18
005362_124_11_07,600,0,21,1,Sierra,1,1,1,24
005366_055_11_03,2285,0,24,0,Sierra,2,1,1,36
005395_230_11_03,300,0,22,1,Sierra,2,1,1,36
005406_004_11_03,365,1,17,1,Sierra,1,0,1,1
